City,Year,TMAX,TMIN,TAVG,TDIFF,PRCP,WIND,EVPR,SUND,WATR,SUND5_cum,GDD5_cum,CDD7_cum,CODE3,CODE51,CODE71,CODE73,CODE61,CODE53,CODE63,CODE55,CODE75,CODE2,CODE0,CODE1,CODE65,lat,long,alt,bloom_date,bloom_doy
Kyoto,1940,8.471666667,-1.056666667,3.7075,9.528333333,1.495,15.56666667,1.8075,8.782168056,-0.3125,178.6968,48.2,144.5,27,13,7,5,3,3,1,1,0,0,0,0,0,35.0119831,135.6761135,44,1940-04-19,110
Kyoto,1941,10.39152542,0.466101695,5.428813559,9.925423729,1.420338983,15.34576271,2.060338983,9.148688512,-0.64,282.9911,101.55,118.3,30,14,2,0,2,3,2,2,1,1,1,1,0,35.0119831,135.6761135,44,1941-04-10,100
Kyoto,1942,10.87118644,0.920338983,5.895762712,9.950847458,2.055932203,14.95254237,1.861864407,8.156733192,0.194067797,255.6606528,133.2,102.4,20,21,4,2,3,1,1,2,1,3,0,1,0,35.0119831,135.6761135,44,1942-04-06,96
Kyoto,1943,10.64745763,0.322033898,5.484745763,10.32542373,1.377966102,14.71525424,2.020847458,8.840066761,-0.642881356,238.7671167,101.55,130.35,28,15,0,0,3,3,1,3,0,4,0,2,0,35.0119831,135.6761135,44,1943-04-11,101
Kyoto,1944,10.15666667,0.493333333,5.325,9.663333333,1.505,15.39833333,1.874833333,8.578203426,-0.369833333,289.5140833,83.45,167.9,21,20,4,1,4,7,1,1,0,1,0,0,0,35.0119831,135.6761135,44,1944-04-09,100
Kyoto,1945,9.247457627,-0.006779661,4.620338983,9.254237288,1.922033898,14.83389831,1.813728814,8.47401549,0.108305085,139.0490861,86.2,129.1,25,15,3,1,4,4,1,0,1,2,3,0,0,35.0119831,135.6761135,44,1971-04-08,98
Kyoto,1946,9.83220339,0.889830508,5.361016949,8.942372881,2.871186441,14.80677966,1.743050847,7.589122505,1.128135593,213.9021889,78.35,161.1,19,15,4,2,3,6,6,1,1,1,0,1,0,35.0119831,135.6761135,44,1946-04-07,97
Kyoto,1947,8.479661017,-1.096610169,3.691525424,9.576271186,1.449152542,15.23220339,1.775254237,8.769294021,-0.326101695,159.473625,49.9,118.55,18,18,11,2,3,4,0,1,1,0,0,1,0,35.0119831,135.6761135,44,1947-04-17,107
Kyoto,1948,10.575,1.386666667,5.980833333,9.188333333,1.325,13.84,1.770166667,7.485172917,-0.445166667,231.4634611,99.35,156.55,23,23,0,0,2,5,2,1,0,1,1,2,0,35.0119831,135.6761135,44,1948-04-11,102
Kyoto,1949,10.63898305,1.122033898,5.880508475,9.516949153,2.03559322,16.89661017,1.894237288,8.664481026,0.141355932,284.950525,85.35,168.55,19,23,4,0,2,5,3,3,0,0,0,0,0,35.0119831,135.6761135,44,1949-04-17,107
Kyoto,1950,10.20677966,0.920338983,5.563559322,9.286440678,2.169491525,15.93050847,1.76779661,8.122200895,0.401694915,181.2397806,93.35,155.85,20,19,4,2,3,4,1,3,1,2,0,0,0,35.0119831,135.6761135,44,1950-04-09,99
Kyoto,1951,10.00677966,1.03559322,5.521186441,8.971186441,2.328813559,16.61355932,1.723559322,8.014492844,0.605254237,239.9838083,95.5,144.5,23,19,4,0,6,3,2,1,1,0,0,0,0,35.0119831,135.6761135,44,1951-04-08,98
Kyoto,1952,8.386666667,0.071666667,4.229166667,8.315,2.871666667,16.115,1.5925,7.611620833,1.279166667,153.5097417,55.1,144.6,25,13,4,2,5,6,4,1,0,0,0,0,0,35.0119831,135.6761135,44,1952-04-14,105
Kyoto,1953,10.13559322,1.279661017,5.707627119,8.855932203,2.318644068,16.03898305,1.722033898,7.981591808,0.596610169,281.2863194,103.7,152.65,14,21,6,1,5,4,1,3,1,2,1,0,0,35.0119831,135.6761135,44,1953-04-11,101
Kyoto,1954,10.62542373,1.103389831,5.86440678,9.522033898,2.261016949,15.69830508,1.918983051,8.811600659,0.342033898,281.2226472,102.85,155.65,24,15,1,3,4,2,5,1,0,1,2,1,0,35.0119831,135.6761135,44,1954-04-08,98
Kyoto,1955,10.72372881,1.472881356,6.098305085,9.250847458,2.937288136,15.94067797,1.744237288,7.704664077,1.193050847,308.0353444,107.85,143.95,26,14,3,1,5,5,4,0,0,1,0,0,0,35.0119831,135.6761135,44,1955-04-07,97
Kyoto,1956,9.26,0.458333333,4.859166667,8.801666667,3.271666667,17.77833333,1.662833333,8.218980139,1.608833333,162.3147528,90.7,140,16,14,9,2,6,5,5,1,1,1,0,0,0,35.0119831,135.6761135,44,1956-04-08,99
Kyoto,1957,8.381355932,-0.345762712,4.01779661,8.727118644,2.028813559,17.12711864,1.720508475,8.455608239,0.308305085,157.7616833,36.05,163.5,21,15,10,0,2,6,0,3,0,1,0,1,0,35.0119831,135.6761135,44,1957-04-13,103
Kyoto,1958,11.02542373,1.559322034,6.292372881,9.466101695,2.440677966,15.63728814,1.887627119,8.526578861,0.553050847,247.8487417,122.4,141.65,19,21,3,1,5,3,2,1,1,2,0,1,0,35.0119831,135.6761135,44,1958-04-09,99
Kyoto,1959,12.09661017,2.669491525,7.383050847,9.427118644,3.706779661,14.53728814,1.778474576,7.157323117,1.928305085,286.4731472,160.05,128.8,15,19,0,0,3,5,9,3,0,0,4,1,0,35.0119831,135.6761135,44,1959-04-02,92
